,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage
0,6000,16.0,normal,good,8 cylinders,gas,85841.0,lien,manual,rwd,mid-size,coupe,orange,very-high
1,7650,8.0,normal,good,4 cylinders,gas,112000.0,clean,manual,fwd,mid-size,sedan,black,very-high
2,9850,10.0,luxury,good,6 cylinders,gas,129960.0,clean,automatic,4wd,full-size,SUV,silver,very-high
3,12500,5.0,normal,good,4 cylinders,gas,97185.0,clean,automatic,rwd,full-size,SUV,silver,very-high
4,7500,15.0,luxury,excellent,6 cylinders,gas,63500.0,clean,automatic,rwd,full-size,wagon,silver,very-high
5,9950,10.0,normal,good,6 cylinders,gas,87360.0,clean,automatic,rwd,mid-size,truck,white,very-high
6,6900,13.0,normal,good,6 cylinders,gas,192000.0,clean,automatic,rwd,mid-size,pickup,black,very-high
7,17950,3.0,normal,good,6 cylinders,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue,high
8,23800,6.0,normal,like new,4 cylinders,gas,92000.0,clean,automatic,4wd,full-size,SUV,black,very-high
9,6200,16.0,normal,excellent,6 cylinders,gas,119223.0,clean,automatic,rwd,mid-size,truck,black,very-high
10,7499,9.0,normal,like new,4 cylinders,gas,107000.0,clean,automatic,fwd,compact,sedan,brown,very-high
11,43995,10.0,normal,like new,8 cylinders,gas,5354.0,clean,automatic,rwd,full-size,coupe,black,low
12,4200,13.0,normal,good,6 cylinders,gas,161982.0,clean,automatic,fwd,full-size,sedan,white,very-high
13,10600,7.0,normal,excellent,4 cylinders,gas,82740.0,clean,manual,fwd,compact,coupe,white,very-high
14,55000,60.0,normal,good,8 cylinders,gas,350.0,clean,automatic,rwd,full-size,coupe,custom,low
15,8950,8.0,normal,good,4 cylinders,gas,136602.0,clean,automatic,fwd,compact,sedan,black,very-high
16,4450,14.0,normal,good,8 cylinders,gas,171952.0,clean,automatic,fwd,mid-size,sedan,black,very-high
17,25995,2.0,normal,excellent,4 cylinders,gas,33938.0,clean,automatic,4wd,mid-size,wagon,grey,high
18,14995,1.0,normal,like new,4 cylinders,gas,16654.0,clean,automatic,fwd,compact,sedan,black,high
19,6000,25.0,normal,good,8 cylinders,diesel,260000.0,clean,automatic,rwd,full-size,truck,grey,very-high
20,12888,3.0,normal,excellent,4 cylinders,gas,28213.0,clean,manual,fwd,compact,sedan,silver,high
21,7950,12.0,normal,excellent,6 cylinders,gas,32636.0,clean,automatic,fwd,compact,SUV,silver,high
22,4950,9.0,normal,good,4 cylinders,gas,153303.0,clean,manual,fwd,compact,SUV,white,very-high
23,3950,13.0,normal,good,4 cylinders,gas,107715.0,clean,automatic,fwd,compact,sedan,black,very-high
24,17950,8.0,normal,good,6 cylinders,gas,128690.0,clean,automatic,4wd,full-size,pickup,grey,very-high
25,6950,11.0,normal,good,4 cylinders,gas,149015.0,clean,automatic,fwd,sub-compact,SUV,blue,very-high
26,3995,14.0,normal,excellent,4 cylinders,gas,129811.0,clean,automatic,fwd,compact,mini-van,blue,very-high
27,2795,26.0,normal,excellent,6 cylinders,gas,51589.0,clean,automatic,fwd,mid-size,sedan,green,very-high
28,8450,4.0,normal,excellent,4 cylinders,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black,high
29,6950,8.0,normal,good,4 cylinders,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green,very-high
30,17800,6.0,luxury,excellent,6 cylinders,gas,41000.0,clean,automatic,rwd,full-size,sedan,black,high
31,14950,7.0,normal,good,6 cylinders,gas,126015.0,clean,automatic,rwd,full-size,pickup,white,very-high
32,3450,15.0,normal,good,8 cylinders,gas,144936.0,clean,automatic,rwd,mid-size,SUV,red,very-high
33,8950,4.0,normal,good,4 cylinders,gas,42810.0,clean,automatic,fwd,sub-compact,hatchback,silver,high
34,6450,12.0,normal,good,6 cylinders,gas,139825.0,clean,automatic,fwd,mid-size,mini-van,black,very-high
35,3750,16.0,normal,good,6 cylinders,gas,149877.0,clean,automatic,fwd,compact,SUV,blue,very-high
36,5999,16.0,luxury,excellent,8 cylinders,gas,54895.0,clean,automatic,rwd,full-size,sedan,brown,very-high
37,4950,8.0,normal,excellent,6 cylinders,gas,103000.0,clean,automatic,rwd,mid-size,van,silver,very-high
38,2900,17.0,normal,good,8 cylinders,gas,240000.0,clean,automatic,4wd,full-size,SUV,brown,very-high
39,4200,19.0,normal,good,8 cylinders,gas,178845.0,clean,automatic,4wd,full-size,SUV,white,very-high
40,13500,11.0,normal,excellent,6 cylinders,gas,104000.0,clean,automatic,rwd,full-size,coupe,red,very-high
