,Unnamed: 0,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
17,17,25995,2018.0,normal,excellent,4 cylinders,gas,33938.0,clean,automatic,4wd,mid-size,wagon,grey
18,18,14995,2019.0,normal,like new,4 cylinders,gas,16654.0,clean,automatic,fwd,compact,sedan,black
88,88,15999,2018.0,normal,excellent,6 cylinders,gas,33115.0,clean,automatic,fwd,mid-size,SUV,red
99,99,1,2020.0,normal,excellent,10 cylinders,gas,17879.0,clean,other,4wd,compact,sedan,grey
100,100,1,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
103,103,1,2018.0,normal,excellent,10 cylinders,gas,34945.0,clean,other,4wd,mid-size,coupe,grey
111,111,21999,2019.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver
126,126,27500,2019.0,normal,excellent,4 cylinders,gas,6288.0,clean,automatic,fwd,mid-size,SUV,grey
138,138,33500,2018.0,normal,excellent,6 cylinders,gas,31826.0,clean,automatic,fwd,mid-size,SUV,black
166,166,13998,2018.0,normal,like new,4 cylinders,gas,15195.0,clean,automatic,fwd,compact,sedan,black
176,176,58500,2019.0,normal,like new,8 cylinders,gas,11500.0,clean,automatic,4wd,full-size,pickup,red
185,185,21500,2019.0,normal,excellent,4 cylinders,gas,5889.0,clean,automatic,fwd,mid-size,SUV,black
186,186,74900,2020.0,luxury,excellent,8 cylinders,gas,8732.0,clean,automatic,4wd,full-size,SUV,white
187,187,46900,2019.0,normal,excellent,4 cylinders,gas,12914.0,clean,automatic,4wd,mid-size,SUV,grey
218,218,594,2019.0,luxury,excellent,6 cylinders,gas,20218.0,clean,automatic,4wd,full-size,sedan,black
226,226,28700,2020.0,normal,like new,4 cylinders,gas,20000.0,lien,automatic,fwd,mid-size,sedan,white
238,238,36295,2019.0,normal,like new,8 cylinders,gas,31657.0,clean,automatic,4wd,full-size,pickup,white
239,239,36795,2019.0,normal,like new,8 cylinders,gas,22750.0,clean,automatic,4wd,full-size,pickup,grey
240,240,32950,2018.0,normal,like new,8 cylinders,gas,57217.0,clean,automatic,4wd,full-size,pickup,red
250,250,34950,2019.0,normal,excellent,8 cylinders,gas,42125.0,clean,automatic,4wd,full-size,truck,white
258,258,16900,2020.0,normal,like new,4 cylinders,gas,19515.0,clean,automatic,fwd,full-size,sedan,grey
266,266,47795,2019.0,normal,like new,8 cylinders,gas,16101.0,clean,automatic,4wd,full-size,truck,black
276,276,34550,2019.0,normal,excellent,8 cylinders,gas,42125.0,clean,automatic,4wd,full-size,truck,white
277,277,45450,2019.0,normal,new,8 cylinders,gas,9281.0,clean,automatic,4wd,full-size,truck,blue
285,285,21312,2018.0,normal,excellent,8 cylinders,gas,112300.0,lien,automatic,rwd,full-size,truck,white
328,328,21999,2019.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver
368,368,49990,2018.0,normal,excellent,8 cylinders,diesel,40657.0,clean,automatic,4wd,full-size,pickup,white
404,404,14680,2019.0,normal,excellent,4 cylinders,gas,14164.0,clean,automatic,fwd,compact,sedan,white
427,427,500,2019.0,normal,excellent,4 cylinders,other,19745.0,clean,automatic,fwd,compact,sedan,black
430,430,799,2019.0,normal,excellent,4 cylinders,other,37262.0,clean,automatic,fwd,compact,SUV,grey
431,431,999,2018.0,normal,excellent,4 cylinders,other,41032.0,clean,automatic,fwd,compact,sedan,grey
432,432,1000,2019.0,normal,excellent,4 cylinders,other,50453.0,clean,automatic,fwd,compact,sedan,white
450,450,999,2018.0,normal,excellent,4 cylinders,other,50465.0,clean,automatic,fwd,compact,SUV,black
479,479,33500,2018.0,normal,like new,8 cylinders,gas,45310.0,clean,automatic,4wd,full-size,SUV,blue
495,495,3000,2018.0,normal,good,4 cylinders,gas,46347.0,clean,automatic,fwd,full-size,sedan,black
496,496,2000,2018.0,normal,good,4 cylinders,gas,53294.0,clean,automatic,fwd,mid-size,sedan,white
504,504,26500,2019.0,normal,like new,4 cylinders,gas,21500.0,lien,automatic,4wd,compact,SUV,white
505,505,899,2018.0,normal,excellent,4 cylinders,other,40321.0,clean,automatic,fwd,compact,sedan,grey
508,508,800,2018.0,normal,excellent,4 cylinders,other,48000.0,clean,automatic,fwd,compact,sedan,grey
513,513,999,2018.0,normal,excellent,4 cylinders,other,41000.0,clean,automatic,fwd,compact,sedan,grey
537,537,25750,2018.0,normal,like new,8 cylinders,gas,20000.0,clean,automatic,rwd,full-size,truck,black
548,548,1,2019.0,normal,excellent,6 cylinders,gas,14954.0,clean,automatic,rwd,full-size,truck,custom
552,552,1,2019.0,luxury,excellent,10 cylinders,electric,18759.0,clean,other,rwd,compact,sedan,custom
559,559,27500,2018.0,normal,like new,6 cylinders,gas,865.0,lien,automatic,rwd,mid-size,coupe,purple
592,592,899,2019.0,normal,like new,4 cylinders,gas,30721.0,clean,automatic,fwd,mid-size,sedan,white
594,594,899,2018.0,normal,excellent,4 cylinders,gas,47318.0,clean,automatic,fwd,compact,sedan,black
598,598,21999,2019.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver
622,622,0,2018.0,normal,excellent,4 cylinders,gas,50622.0,clean,automatic,fwd,compact,sedan,white
650,650,14680,2019.0,normal,excellent,4 cylinders,gas,14164.0,clean,automatic,fwd,compact,sedan,white
654,654,22795,2018.0,normal,like new,4 cylinders,gas,9487.0,clean,automatic,4wd,mid-size,SUV,red
660,660,22495,2018.0,normal,like new,4 cylinders,gas,14568.0,clean,automatic,fwd,mid-size,SUV,blue
686,686,6500,2018.0,normal,like new,4 cylinders,gas,24951.0,rebuilt,automatic,fwd,full-size,sedan,black
726,726,23995,2018.0,normal,like new,8 cylinders,gas,15785.0,clean,automatic,rwd,full-size,van,white
729,729,34995,2019.0,normal,like new,6 cylinders,gas,15450.0,clean,automatic,rwd,full-size,truck,black
744,744,19500,2019.0,normal,like new,4 cylinders,gas,28700.0,lien,automatic,fwd,mid-size,SUV,silver
776,776,8200,2020.0,normal,new,4 cylinders,gas,2.0,rebuilt,automatic,fwd,mid-size,hatchback,black
777,777,18200,2018.0,normal,like new,6 cylinders,gas,65.0,rebuilt,automatic,rwd,full-size,pickup,white
815,815,26800,2019.0,normal,like new,6 cylinders,gas,4500.0,rebuilt,automatic,rwd,mid-size,van,white
821,821,0,2018.0,normal,excellent,6 cylinders,gas,51696.0,clean,automatic,fwd,full-size,mini-van,grey
822,822,0,2020.0,normal,excellent,6 cylinders,gas,2280.0,clean,automatic,fwd,mid-size,SUV,blue
847,847,2000,2018.0,normal,excellent,8 cylinders,gas,1.0,clean,automatic,rwd,full-size,pickup,silver
849,849,15995,2018.0,normal,excellent,4 cylinders,gas,36266.0,clean,automatic,fwd,compact,sedan,red
855,855,2000,2018.0,normal,excellent,6 cylinders,gas,1.0,clean,automatic,rwd,full-size,van,white
864,864,37400,2019.0,luxury,like new,4 cylinders,gas,12900.0,clean,automatic,fwd,mid-size,SUV,white
868,868,26995,2018.0,normal,excellent,6 cylinders,gas,39915.0,clean,automatic,4wd,mid-size,wagon,white
886,886,17700,2018.0,normal,like new,4 cylinders,gas,12700.0,rebuilt,automatic,4wd,mid-size,SUV,black
897,897,1800,2019.0,normal,excellent,4 cylinders,gas,29.0,clean,automatic,fwd,full-size,sedan,white
900,900,2000,2018.0,normal,like new,4 cylinders,gas,62998.0,clean,automatic,fwd,full-size,SUV,blue
901,901,2000,2020.0,normal,good,4 cylinders,gas,15348.0,clean,automatic,fwd,compact,sedan,red
907,907,2000,2018.0,normal,excellent,4 cylinders,gas,39295.0,clean,automatic,fwd,full-size,sedan,black
916,916,18000,2018.0,normal,like new,4 cylinders,gas,31894.0,clean,automatic,fwd,full-size,sedan,grey
917,917,25990,2018.0,normal,like new,6 cylinders,gas,36749.0,clean,automatic,rwd,full-size,SUV,white
918,918,13990,2018.0,normal,like new,4 cylinders,gas,25759.0,clean,automatic,rwd,full-size,sedan,black
923,923,32999,2018.0,luxury,like new,4 cylinders,gas,24050.0,clean,automatic,rwd,mid-size,sedan,white
934,934,13490,2018.0,normal,like new,4 cylinders,gas,66793.0,clean,automatic,fwd,mid-size,sedan,blue
964,964,21777,2018.0,normal,excellent,6 cylinders,gas,14892.0,clean,automatic,fwd,full-size,van,white
973,973,1,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
974,974,1,2018.0,normal,excellent,10 cylinders,gas,34945.0,clean,other,4wd,mid-size,coupe,grey
975,975,1,2020.0,normal,excellent,10 cylinders,gas,17879.0,clean,other,4wd,compact,sedan,grey
982,982,20995,2018.0,normal,excellent,4 cylinders,gas,29401.0,clean,automatic,fwd,mid-size,SUV,black
990,990,16500,2019.0,normal,like new,4 cylinders,gas,96.0,clean,automatic,fwd,mid-size,sedan,white
993,993,15000,2019.0,normal,excellent,4 cylinders,gas,17000.0,clean,automatic,fwd,mid-size,sedan,red
1004,1004,11400,2018.0,normal,like new,4 cylinders,gas,10251.0,lien,manual,fwd,compact,sedan,silver
1041,1041,19768,2018.0,normal,like new,6 cylinders,gas,53421.0,clean,automatic,rwd,full-size,sedan,grey
1043,1043,49990,2018.0,normal,excellent,8 cylinders,diesel,40657.0,clean,automatic,4wd,full-size,pickup,white
1053,1053,13400,2018.0,normal,like new,4 cylinders,gas,16300.0,clean,automatic,fwd,full-size,SUV,silver
1059,1059,14495,2018.0,normal,like new,4 cylinders,gas,46950.0,clean,automatic,fwd,mid-size,SUV,red
1072,1072,57650,2019.0,normal,like new,8 cylinders,gas,22590.0,clean,automatic,4wd,full-size,pickup,blue
1104,1104,29990,2019.0,normal,excellent,6 cylinders,gas,32698.0,clean,automatic,rwd,full-size,pickup,white
1139,1139,1,2019.0,normal,excellent,6 cylinders,gas,14954.0,clean,automatic,rwd,full-size,truck,custom
1142,1142,1,2019.0,luxury,excellent,10 cylinders,electric,18759.0,clean,other,rwd,compact,sedan,custom
1146,1146,29900,2018.0,normal,good,6 cylinders,gas,17480.0,clean,automatic,rwd,full-size,truck,white
1148,1148,39900,2019.0,normal,good,8 cylinders,gas,38200.0,clean,automatic,4wd,full-size,truck,white
1151,1151,36900,2018.0,normal,good,6 cylinders,gas,54030.0,clean,automatic,4wd,full-size,truck,white
1152,1152,40900,2019.0,normal,good,6 cylinders,gas,11523.0,clean,automatic,4wd,full-size,truck,grey
1155,1155,34900,2018.0,normal,good,6 cylinders,gas,74089.0,clean,automatic,4wd,full-size,truck,white
1158,1158,34900,2018.0,normal,good,6 cylinders,gas,18534.0,clean,automatic,4wd,full-size,truck,black
1159,1159,64900,2019.0,normal,good,8 cylinders,diesel,17887.0,clean,automatic,4wd,full-size,truck,white
1160,1160,45900,2018.0,normal,good,8 cylinders,diesel,42951.0,clean,automatic,4wd,full-size,truck,white
1161,1161,59900,2020.0,normal,good,6 cylinders,gas,1912.0,clean,automatic,4wd,full-size,truck,silver
1166,1166,17500,2018.0,normal,excellent,4 cylinders,gas,24500.0,clean,manual,rwd,mid-size,pickup,black
1199,1199,21999,2019.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver
1208,1208,35995,2019.0,normal,like new,8 cylinders,gas,11146.0,clean,automatic,rwd,mid-size,coupe,custom
1244,1244,18000,2018.0,normal,like new,8 cylinders,gas,98256.0,rebuilt,automatic,fwd,full-size,pickup,brown
1288,1288,32000,2018.0,normal,good,8 cylinders,gas,61544.0,lien,automatic,4wd,full-size,pickup,red
1306,1306,25999,2019.0,normal,excellent,6 cylinders,gas,14954.0,clean,automatic,rwd,full-size,truck,custom
1326,1326,20999,2018.0,normal,excellent,4 cylinders,gas,17355.0,clean,automatic,rwd,full-size,SUV,custom
1328,1328,37999,2018.0,normal,excellent,6 cylinders,gas,24313.0,clean,automatic,4wd,full-size,truck,silver
1395,1395,36000,2020.0,normal,like new,6 cylinders,gas,1600.0,clean,automatic,4wd,mid-size,SUV,white
1421,1421,21490,2019.0,normal,like new,6 cylinders,gas,40718.0,clean,automatic,fwd,full-size,sedan,blue
1422,1422,24018,2019.0,normal,like new,6 cylinders,gas,25231.0,clean,automatic,rwd,mid-size,coupe,white
1425,1425,17699,2020.0,normal,like new,4 cylinders,gas,19515.0,clean,automatic,fwd,full-size,sedan,grey
1428,1428,19900,2018.0,normal,like new,6 cylinders,gas,15000.0,rebuilt,automatic,rwd,full-size,truck,grey
1439,1439,20999,2018.0,normal,excellent,4 cylinders,gas,17355.0,clean,automatic,rwd,full-size,SUV,custom
1443,1443,37999,2018.0,normal,excellent,6 cylinders,gas,24313.0,clean,automatic,4wd,full-size,truck,silver
1501,1501,75000,2018.0,normal,excellent,8 cylinders,gas,16016.0,clean,automatic,rwd,compact,coupe,blue
1527,1527,38990,2018.0,normal,like new,8 cylinders,gas,52985.0,clean,automatic,4wd,full-size,truck,black
1595,1595,25995,2018.0,normal,excellent,6 cylinders,gas,17200.0,clean,automatic,fwd,full-size,bus,white
1606,1606,76995,2019.0,normal,like new,8 cylinders,gas,4126.0,clean,automatic,rwd,full-size,coupe,black
1627,1627,17995,2018.0,normal,excellent,4 cylinders,gas,11356.0,clean,automatic,fwd,mid-size,SUV,black
1682,1682,15500,2019.0,normal,like new,4 cylinders,gas,10100.0,lien,automatic,fwd,sub-compact,sedan,blue
1683,1683,24500,2018.0,normal,like new,8 cylinders,gas,36000.0,rebuilt,automatic,rwd,full-size,truck,red
