,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
1225,space coast,6000,2004.0,ford,good,8 cylinders,gas,85841.0,lien,manual,rwd,mid-size,coupe,orange
1261,space coast,7650,2012.0,honda,good,4 cylinders,gas,112000.0,clean,manual,fwd,mid-size,sedan,black
1266,space coast,9850,2010.0,lincoln,good,6 cylinders,gas,129960.0,clean,automatic,4wd,full-size,SUV,silver
1280,space coast,12500,2015.0,kia,good,4 cylinders,gas,97185.0,clean,automatic,rwd,full-size,SUV,silver
1283,space coast,7500,2005.0,mercedes-benz,excellent,6 cylinders,gas,63500.0,clean,automatic,rwd,full-size,wagon,silver
1295,space coast,9950,2010.0,ford,good,6 cylinders,gas,87360.0,clean,automatic,rwd,mid-size,truck,white
1296,space coast,6900,2007.0,nissan,good,6 cylinders,gas,192000.0,clean,automatic,rwd,mid-size,pickup,black
1315,space coast,17950,2017.0,chevrolet,good,6 cylinders,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue
1339,space coast,23800,2014.0,rover,like new,4 cylinders,gas,92000.0,clean,automatic,4wd,full-size,SUV,black
1340,space coast,6200,2004.0,ford,excellent,6 cylinders,gas,119223.0,clean,automatic,rwd,mid-size,truck,black
1341,space coast,7499,2011.0,honda,like new,4 cylinders,gas,107000.0,clean,automatic,fwd,compact,sedan,brown
1388,space coast,43995,2010.0,ford,like new,8 cylinders,gas,5354.0,clean,automatic,rwd,full-size,coupe,black
1392,space coast,4200,2007.0,chevrolet,good,6 cylinders,gas,161982.0,clean,automatic,fwd,full-size,sedan,white
1398,space coast,10600,2013.0,honda,excellent,4 cylinders,gas,82740.0,clean,manual,fwd,compact,coupe,white
1401,space coast,55000,1960.0,ford,good,8 cylinders,gas,350.0,clean,automatic,rwd,full-size,coupe,custom
1406,space coast,8950,2012.0,toyota,good,4 cylinders,gas,136602.0,clean,automatic,fwd,compact,sedan,black
1408,space coast,4450,2006.0,chevrolet,good,8 cylinders,gas,171952.0,clean,automatic,fwd,mid-size,sedan,black
1429,space coast,25995,2018.0,subaru,excellent,4 cylinders,gas,33938.0,clean,automatic,4wd,mid-size,wagon,grey
1439,space coast,14995,2019.0,nissan,like new,4 cylinders,gas,16654.0,clean,automatic,fwd,compact,sedan,black
1440,space coast,6000,1995.0,ford,good,8 cylinders,diesel,260000.0,clean,automatic,rwd,full-size,truck,grey
1441,space coast,12888,2017.0,nissan,excellent,4 cylinders,gas,28213.0,clean,manual,fwd,compact,sedan,silver
1442,space coast,7950,2008.0,saturn,excellent,6 cylinders,gas,32636.0,clean,automatic,fwd,compact,SUV,silver
1443,space coast,4950,2011.0,jeep,good,4 cylinders,gas,153303.0,clean,manual,fwd,compact,SUV,white
1447,space coast,3950,2007.0,pontiac,good,4 cylinders,gas,107715.0,clean,automatic,fwd,compact,sedan,black
1450,space coast,17950,2012.0,ford,good,6 cylinders,gas,128690.0,clean,automatic,4wd,full-size,pickup,grey
1456,space coast,6950,2009.0,honda,good,4 cylinders,gas,149015.0,clean,automatic,fwd,sub-compact,SUV,blue
1467,space coast,3995,2006.0,mazda,excellent,4 cylinders,gas,129811.0,clean,automatic,fwd,compact,mini-van,blue
1468,space coast,2795,1994.0,ford,excellent,6 cylinders,gas,51589.0,clean,automatic,fwd,mid-size,sedan,green
1470,space coast,8450,2016.0,nissan,excellent,4 cylinders,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black
1472,space coast,6950,2012.0,ford,good,4 cylinders,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green
1476,space coast,17800,2014.0,cadillac,excellent,6 cylinders,gas,41000.0,clean,automatic,rwd,full-size,sedan,black
