region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
space coast,6000,2004,ford,1,good,8 cylinders,gas,85841,manual,rwd,mid-size,coupe,orange
space coast,7650,2012,honda,0,good,4 cylinders,gas,112000,manual,fwd,mid-size,sedan,black
space coast,9850,2010,lincoln,1,good,6 cylinders,gas,129960,automatic,4wd,full-size,SUV,silver
space coast,12500,2015,kia,0,good,4 cylinders,gas,97185,automatic,rwd,full-size,SUV,silver
space coast,7500,2005,mercedes-benz,0,excellent,6 cylinders,gas,63500,automatic,rwd,full-size,wagon,silver
space coast,9950,2010,ford,1,good,6 cylinders,gas,87360,automatic,rwd,mid-size,truck,white
space coast,6900,2007,nissan,0,good,6 cylinders,gas,192000,automatic,rwd,mid-size,pickup,black
space coast,17950,2017,chevrolet,0,good,6 cylinders,gas,47769,automatic,fwd,mid-size,SUV,blue
space coast,23800,2014,rover,0,like new,4 cylinders,gas,92000,automatic,4wd,full-size,SUV,black
space coast,6200,2004,ford,1,excellent,6 cylinders,gas,119223,automatic,rwd,mid-size,truck,black
space coast,7499,2011,honda,0,like new,4 cylinders,gas,107000,automatic,fwd,compact,sedan,brown
space coast,43995,2010,ford,1,like new,8 cylinders,gas,5354,automatic,rwd,full-size,coupe,black
space coast,4200,2007,chevrolet,1,good,6 cylinders,gas,161982,automatic,fwd,full-size,sedan,white
space coast,10600,2013,honda,0,excellent,4 cylinders,gas,82740,manual,fwd,compact,coupe,white
space coast,8950,2012,toyota,0,good,4 cylinders,gas,136602,automatic,fwd,compact,sedan,black
space coast,4450,2006,chevrolet,1,good,8 cylinders,gas,171952,automatic,fwd,mid-size,sedan,black
space coast,25995,2018,subaru,0,excellent,4 cylinders,gas,33938,automatic,4wd,mid-size,wagon,grey
space coast,14995,2019,nissan,0,like new,4 cylinders,gas,16654,automatic,fwd,compact,sedan,black
space coast,6000,1995,ford,1,good,8 cylinders,diesel,260000,automatic,rwd,full-size,truck,grey
space coast,12888,2017,nissan,0,excellent,4 cylinders,gas,28213,manual,fwd,compact,sedan,silver
space coast,7950,2008,saturn,1,excellent,6 cylinders,gas,32636,automatic,fwd,compact,SUV,silver
space coast,4950,2011,jeep,1,good,4 cylinders,gas,153303,manual,fwd,compact,SUV,white
space coast,3950,2007,pontiac,1,good,4 cylinders,gas,107715,automatic,fwd,compact,sedan,black
space coast,17950,2012,ford,1,good,6 cylinders,gas,128690,automatic,4wd,full-size,pickup,grey
space coast,6950,2009,honda,0,good,4 cylinders,gas,149015,automatic,fwd,sub-compact,SUV,blue
space coast,3995,2006,mazda,0,excellent,4 cylinders,gas,129811,automatic,fwd,compact,mini-van,blue
space coast,2795,1994,ford,1,excellent,6 cylinders,gas,51589,automatic,fwd,mid-size,sedan,green
space coast,8450,2016,nissan,0,excellent,4 cylinders,gas,46069,automatic,fwd,sub-compact,sedan,black
space coast,6950,2012,ford,1,good,4 cylinders,gas,101301,automatic,fwd,mid-size,sedan,green
space coast,17800,2014,cadillac,1,excellent,6 cylinders,gas,41000,automatic,rwd,full-size,sedan,black
space coast,14950,2013,ram,1,good,6 cylinders,gas,126015,automatic,rwd,full-size,pickup,white
space coast,3450,2005,volkswagen,0,good,8 cylinders,gas,144936,automatic,rwd,mid-size,SUV,red
