,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
0,6000,16.0,normal,good,8 cylinders,gas,85841.0,lien,manual,rwd,mid-size,coupe,orange
1,7650,8.0,normal,good,4 cylinders,gas,112000.0,clean,manual,fwd,mid-size,sedan,black
2,9850,10.0,luxury,good,6 cylinders,gas,129960.0,clean,automatic,4wd,full-size,SUV,silver
3,12500,5.0,normal,good,4 cylinders,gas,97185.0,clean,automatic,rwd,full-size,SUV,silver
4,7500,15.0,luxury,excellent,6 cylinders,gas,63500.0,clean,automatic,rwd,full-size,wagon,silver
5,9950,10.0,normal,good,6 cylinders,gas,87360.0,clean,automatic,rwd,mid-size,truck,white
6,6900,13.0,normal,good,6 cylinders,gas,192000.0,clean,automatic,rwd,mid-size,pickup,black
7,17950,3.0,normal,good,6 cylinders,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue
8,23800,6.0,normal,like new,4 cylinders,gas,92000.0,clean,automatic,4wd,full-size,SUV,black
9,6200,16.0,normal,excellent,6 cylinders,gas,119223.0,clean,automatic,rwd,mid-size,truck,black
10,7499,9.0,normal,like new,4 cylinders,gas,107000.0,clean,automatic,fwd,compact,sedan,brown
11,43995,10.0,normal,like new,8 cylinders,gas,5354.0,clean,automatic,rwd,full-size,coupe,black
12,4200,13.0,normal,good,6 cylinders,gas,161982.0,clean,automatic,fwd,full-size,sedan,white
13,10600,7.0,normal,excellent,4 cylinders,gas,82740.0,clean,manual,fwd,compact,coupe,white
14,55000,60.0,normal,good,8 cylinders,gas,350.0,clean,automatic,rwd,full-size,coupe,custom
15,8950,8.0,normal,good,4 cylinders,gas,136602.0,clean,automatic,fwd,compact,sedan,black
16,4450,14.0,normal,good,8 cylinders,gas,171952.0,clean,automatic,fwd,mid-size,sedan,black
17,25995,2.0,normal,excellent,4 cylinders,gas,33938.0,clean,automatic,4wd,mid-size,wagon,grey
18,14995,1.0,normal,like new,4 cylinders,gas,16654.0,clean,automatic,fwd,compact,sedan,black
19,6000,25.0,normal,good,8 cylinders,diesel,260000.0,clean,automatic,rwd,full-size,truck,grey
20,12888,3.0,normal,excellent,4 cylinders,gas,28213.0,clean,manual,fwd,compact,sedan,silver
21,7950,12.0,normal,excellent,6 cylinders,gas,32636.0,clean,automatic,fwd,compact,SUV,silver
22,4950,9.0,normal,good,4 cylinders,gas,153303.0,clean,manual,fwd,compact,SUV,white
23,3950,13.0,normal,good,4 cylinders,gas,107715.0,clean,automatic,fwd,compact,sedan,black
24,17950,8.0,normal,good,6 cylinders,gas,128690.0,clean,automatic,4wd,full-size,pickup,grey
25,6950,11.0,normal,good,4 cylinders,gas,149015.0,clean,automatic,fwd,sub-compact,SUV,blue
26,3995,14.0,normal,excellent,4 cylinders,gas,129811.0,clean,automatic,fwd,compact,mini-van,blue
27,2795,26.0,normal,excellent,6 cylinders,gas,51589.0,clean,automatic,fwd,mid-size,sedan,green
28,8450,4.0,normal,excellent,4 cylinders,gas,46069.0,clean,automatic,fwd,sub-compact,sedan,black
29,6950,8.0,normal,good,4 cylinders,gas,101301.0,clean,automatic,fwd,mid-size,sedan,green
30,17800,6.0,luxury,excellent,6 cylinders,gas,41000.0,clean,automatic,rwd,full-size,sedan,black
31,14950,7.0,normal,good,6 cylinders,gas,126015.0,clean,automatic,rwd,full-size,pickup,white
32,3450,15.0,normal,good,8 cylinders,gas,144936.0,clean,automatic,rwd,mid-size,SUV,red
33,8950,4.0,normal,good,4 cylinders,gas,42810.0,clean,automatic,fwd,sub-compact,hatchback,silver
34,6450,12.0,normal,good,6 cylinders,gas,139825.0,clean,automatic,fwd,mid-size,mini-van,black
35,3750,16.0,normal,good,6 cylinders,gas,149877.0,clean,automatic,fwd,compact,SUV,blue
36,5999,16.0,luxury,excellent,8 cylinders,gas,54895.0,clean,automatic,rwd,full-size,sedan,brown
37,4950,8.0,normal,excellent,6 cylinders,gas,103000.0,clean,automatic,rwd,mid-size,van,silver
38,2900,17.0,normal,good,8 cylinders,gas,240000.0,clean,automatic,4wd,full-size,SUV,brown
39,4200,19.0,normal,good,8 cylinders,gas,178845.0,clean,automatic,4wd,full-size,SUV,white
40,13500,11.0,normal,excellent,6 cylinders,gas,104000.0,clean,automatic,rwd,full-size,coupe,red
41,7299,11.0,luxury,excellent,6 cylinders,gas,156000.0,clean,automatic,rwd,full-size,sedan,silver
42,15500,8.0,normal,excellent,6 cylinders,gas,149000.0,clean,automatic,rwd,full-size,truck,white
43,12500,8.0,luxury,excellent,8 cylinders,gas,92000.0,clean,automatic,rwd,full-size,sedan,black
44,11500,9.0,normal,excellent,6 cylinders,gas,124000.0,clean,automatic,fwd,full-size,sedan,black
45,23995,7.0,luxury,excellent,8 cylinders,gas,79000.0,clean,automatic,4wd,full-size,SUV,black
46,12000,10.0,normal,excellent,8 cylinders,gas,143000.0,clean,automatic,4wd,full-size,SUV,black
47,9500,7.0,normal,like new,6 cylinders,gas,116000.0,clean,automatic,fwd,full-size,SUV,white
48,9500,11.0,luxury,excellent,8 cylinders,gas,144000.0,clean,automatic,4wd,full-size,SUV,black
49,8500,7.0,normal,excellent,4 cylinders,gas,120000.0,clean,automatic,fwd,full-size,hatchback,black
50,8500,8.0,normal,excellent,4 cylinders,gas,102000.0,clean,automatic,fwd,full-size,SUV,white
51,7500,14.0,normal,excellent,8 cylinders,gas,236000.0,clean,automatic,4wd,full-size,truck,green
52,5995,9.0,normal,excellent,6 cylinders,gas,158003.0,clean,automatic,4wd,mid-size,SUV,black
53,500,20.0,normal,good,6 cylinders,gas,250000.0,clean,automatic,4wd,full-size,SUV,grey
54,1200,18.0,normal,fair,6 cylinders,gas,198459.0,clean,automatic,fwd,full-size,mini-van,blue
55,3995,13.0,luxury,like new,6 cylinders,gas,85166.0,clean,automatic,rwd,full-size,SUV,black
56,2995,18.0,normal,like new,6 cylinders,gas,214231.0,clean,automatic,rwd,full-size,SUV,silver
57,2995,18.0,normal,like new,6 cylinders,gas,218872.0,clean,automatic,rwd,full-size,SUV,black
58,3495,12.0,normal,like new,4 cylinders,gas,190268.0,clean,automatic,fwd,full-size,sedan,grey
59,1998,14.0,normal,good,6 cylinders,gas,157813.0,clean,automatic,fwd,mid-size,mini-van,white
60,2498,19.0,normal,excellent,6 cylinders,gas,133068.0,clean,automatic,fwd,mid-size,sedan,brown
61,24500,3.0,normal,excellent,6 cylinders,gas,32000.0,clean,other,fwd,full-size,SUV,grey
